GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint_4,default,Account,0,14,0,0,0,6,0,2,0,2
Sprint_4,default,Praktikum,21,0,2,0,7,0,3,0,2,0
